College Name,Email
Andaman and Nicobar Islands Institute of Medical Sciences,diraniims@gmail.com
Andaman Law College,andamanlawcollege2016@gmail.com
"Vivekananda Kendra Vidyalaya, Rangat",vkvrangat@vkendra.org
"Vivekananda Kendra Vidyalaya, Port Mout",vkvportmout@vkendra.org
"All India Institute of Medical Sciences, Mangalagiri",helpline@antiragging.in
"Indian Institute of Information Technology, Sri City",contact@iiits.in
Indian Institute of Petroleum and Energy,office@iipe.ac.in
Indian Institute of Petroleum and Energy,ugadmissions@iipe.ac.in
"Indian Culinary Institute, Tirupati",icitpt@gmail.com
"Indian Culinary Institute, Tirupati",admissions.icitpt@gmail.com
Indian Institute of Tourism and Travel Management,alok.kaluskar@iittm.ac.in
Acharya N. G. Ranga Agricultural University,farmercallcentre@angrau.ac.in
Adikavi Nannaya University,enquiry@aknu.edu.in
Andhra Kesari University,regakuongole@gmail.com
Andhra Kesari University,regakuongole@gmail.com
Dr. NTR University of Health Sciences,registrar.drntr@uhsap.in
Sri Padmavati Mahila Visvavidyalayam,registrar@spmvv.ac.in
"SRM University, Andhra Pradesh",admissions@srmap.edu.in
Saveetha Amaravati University,hr.smch.nts@saveetha.com
Saveetha Amaravati University,lawdirector@saveetha.com
Saveetha Amaravati University,prime@saveetha.com
Saveetha Amaravati University,hr.smch.ts@saveetha.com
Saveetha Amaravati University,admin@saveetha.com
Saveetha Amaravati University,hr.smc@saveetha.com
Saveetha Amaravati University,principal.ahs@saveetha.com
Saveetha Amaravati University,enggadmission@saveetha.com
Saveetha Amaravati University,physiotherapy.smc@saveetha.com
Saveetha Amaravati University,adminofficer@saveetha.com
B.E.S.T Innovation University,info@bestiu.edu.in
"Vignan's Foundation for Science, Technology & Research",vfstrncc@gmail.com
Aditya Institute of Technology and Management,info@adityatekkali.edu.in
Anil Neerukonda Institute of Technology and Sciences,principal@anits.edu.in
G Pulla Reddy College of Engineering & Technology,info@gprec.ac.in
KSRM College of Engineering,principal@ksrmce.ac.in
Raghu Engineering College,info@raghuenggcollege.in
Sagi Ramakrishnam Raju Engineering College,principal@srkrec.ac.in
Indira Priyadarshini Law College,ipc.halliga@gmail.com
Sri Vijayanagar College of Law,contact@vijayanagarlaw.edu.in
"All India Institute of Medical Sciences, Mangalagiri",helpline@antiragging.in
Rangaraya Medical College,principalrmc1958@gmail.com
Kurnool Medical College,peshikmckurnool@gmail.com
Siddhartha Medical College,info@ssmctumkur.org
"Government Medical College, Kadapa",principal.gmckdp@gmail.com
"Government Medical College,Rajamahendravaram",principalgmcrjyacademic@gmail.com
"Government Medical College,Eluru",principalgmceluru@gmail.com
"Government Medical College,Machilipatnam",principalgmcmachilipatnam@gmail.com
"Government Medical College,Adoni",info@rmgoe.org
"Government Medical College, Nandyal",principalgmcnandyala@gmail.com
Katuri Medical College,kmchgnt@gmail.com
P.E.S. Institue of Medical Sciences and Research,admissions@pes.edu
Andhra Loyola College,contactalc@gmail.com
"SMVM Polytechnic, Tanuku",smvmpolytku@gmail.com
Sree Vidyanikethan Educational Trust,info@vidyanikethan.edu
Andhra University,enquiry@andhrauniversity.edu.in
Sri Padmavati Mahila Visvavidyalayam,dec.spmvv@gmail.com
College of Engineering Visakhapatnam,auceaprincipal@gmail.com
University College of Engineering,principal@ucet.ac.in
JNTUA College of Engineering,registrar@jntua.ac.in
AU College of Pharmaceutical Sciences,drapr64@gmail.com
Aditya Engineering College,info@aditya.ac.in
Dodla Kousalyamma Government College for Women,nellore.jkc@gmail.com
S.G.A. Government Degree College,sgagdc.jkc@gmail.com
Silver Jubilee Government College,kurnoolsilver.jkc@gmail.com
Government College,ananthpur.jkc@gmail.com
Pithapur Rajah's Government College,kakinada.jkc@gmail.com
Sri Venkateswara College of Nursing,svcon.rvs@gmail.com
Vemuri Sundara Ramaiah Government Degree and P. G. College,gdcjkc.movva@gmail.com
GOVERNMENT COLLEGE,gcrjy1853@gcrjy.ac.in
Godavari Institute of Engineering and Technology,principal@giet.ac.in
S. R. R. & C. V. R. Govt. Degree College,srrandcvr@gmail.com
Jawaharlal Nehru Technological University,registrar@jntua.ac.in
Sri Sathya Sai Institute of Higher Learning,registrar@sssihl.edu.in
Yogi Vemana University,registraryvu@gmail.com
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING - AUTONOMOUS,enquiry@andhrauniversity.edu.in
"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY ANANTAPUR,  COLLEGE OF ENGINEERING",registrar@jntua.ac.in
Sri Venkateswara College of Pharmacy,principal@svcop.in
National Institute of Technology,admissions@nitandhra.ac.in
KUPPAM ENGINEERING COLLEGE,principal@kec.ac.in
"State Institute of Hotel Management Catering Technology & Applied Nutrition , TIRUPATI",sihmtpt@gmail.com
Indian Maritime University,director.vizag@imu.ac.in
INDIAN INSTITUTE OF PETROLEUM AND ENERGY,office@iipe.ac.in
DAMODARAM SANJIVAYYA NATIONAL LAW UNIVERSITY,dsnluvsp@gmail.com
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SRI CITY",admissions@iiits.in
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DESIGN AND MANUFACTURING,office@iiitk.ac.in
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,cbitpdtr@gmail.com
AUDISANKARA COLLEGE OF ENGINEERING AND TECHNOLOGY,director@audisankara.ac.in
SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,info@svcetedu.org
BONAM VENKATA CHALAMAYYA INSTITUTE OF TECHNOLOGY AND SCIENCE,bvts@bvcgroup.in
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI, VIJAYAWADA",itcell@aiimsmangalagiri.edu.in
B.V.C. COLLEGE OF ENGINEERING,bvcr@bvcgroup.in
ADITYA PHARMACY COLLEGE,office@adityapharmacy.edu.in
INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI,iittirupati@iittp.ac.in
ADITYA COLLEGE OF PHARMACY,office@acop.edu.in
"INDIAN CULINARY INSTITUTE, TIRUPATI",icitpt@gmail.com
GIET SCHOOL OF PHARMACY,gietpharmacy@gmail.com
